storeLink,storeName,dateRange,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
https://www.studenac.hr/trgovine/1132/t1376-adamovec,"Ulica Dragutina Domjanića 55, Adamovec",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/1432/t1579-andrijasevci,"Matije Gupca 72, Andrijaševci",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/260/t226-babino-polje,"Zadublje 1, Babino Polje",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,Zatvoreno
https://www.studenac.hr/trgovine/1567/t1592-bale,"Trg La Musa 9, Bale",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00
https://www.studenac.hr/trgovine/1342/t992-bale,"Mon Perin San Polo, Bale",24.03 - 30.03.2025.,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-18:00,08:00-18:00
https://www.studenac.hr/trgovine/1256/t991-bale,"Mon Perin Colone, Bale",24.03 - 30.03.2025.,Zatvoreno,Zatvoreno,Zatvoreno,Zatvoreno,Zatvoreno,Zatvoreno,Zatvoreno
https://www.studenac.hr/trgovine/478/t514-bale-valle,"Trg Palih boraca 6, Bale (Valle)",24.03 - 30.03.2025.,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,Zatvoreno
https://www.studenac.hr/trgovine/890/t1033-banova-jaruga,"Cvjetni trg 4, Banova Jaruga",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,Closed
https://www.studenac.hr/trgovine/892/t1035-banova-jaruga,"Ulica Stjepana Radića 35, Banova Jaruga",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/614/t658-banjevci,"Banjevci 74, Banjevci",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,Zatvoreno
https://www.studenac.hr/trgovine/1572/t1597-banjole,"Čimulje 36, Banjole",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,Zatvoreno
https://www.studenac.hr/trgovine/1301/t997-baska-voda,"Ulica Blato 1, Baška Voda",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/84/t346-baska-voda,"Ulica Tri ceste 3B, Baška Voda",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/99/t336-baska-voda,"Ulica prilaz Obali 1, Baška Voda",24.03 - 30.03.2025.,Zatvoreno,Zatvoreno,Zatvoreno,Zatvoreno,Zatvoreno,Zatvoreno,Zatvoreno
https://www.studenac.hr/trgovine/1363/t1426-bedenik,"Bedenik 125, Bedenik",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,Zatvoreno
https://www.studenac.hr/trgovine/1431/t1569-beli-manastir,"Trg Slobode 29, Beli Manastir",24.03 - 30.03.2025.,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,07:30-20:00,Zatvoreno
https://www.studenac.hr/trgovine/256/t216-benkovac,"Šetalište kneza Branimira 30A, Benkovac",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/309/t184-benkovac,"Ulica Ante Starčevića 6, Benkovac",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/1228/t1457-benkovac,"Ulica kralja Tomislava 1, Benkovac",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00
https://www.studenac.hr/trgovine/1327/t1239-berek,"Berek 77, Berek",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-15:00
https://www.studenac.hr/trgovine/576/t473-bibinje,"Jadranska Magistrala 14A, Bibinje",24.03 - 30.03.2025.,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,Zatvoreno
https://www.studenac.hr/trgovine/248/t225-bibinje,"Ul. blaž. Alojzija Stepinca 22, Bibinje",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00
https://www.studenac.hr/trgovine/615/t676-biograd-na-moru,"Ulica dr. Franje Tuđmana 7A, Biograd Na Moru",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-21:00
https://www.studenac.hr/trgovine/636/t657-biograd-na-moru,"Zadarska ulica 11, Biograd Na Moru",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/132/t291-biograd-na-moru,"Osječka ulica 2, Biograd Na Moru",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00
https://www.studenac.hr/trgovine/133/t292-biograd-na-moru,"Trg kralja Tomislava 2, Biograd Na Moru",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/692/t757-biograd-na-moru,"Put Solina 13, Biograd Na Moru",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/693/t750-biograd-na-moru,"Slanica 5A, Biograd Na Moru",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,Zatvoreno
https://www.studenac.hr/trgovine/694/t749-biograd-na-moru,"Zadarska ulica 62, Biograd Na Moru",24.03 - 30.03.2025.,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,Zatvoreno
https://www.studenac.hr/trgovine/695/t748-biograd-na-moru,"Splitska ulica 43, Biograd Na Moru",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/715/t758-biograd-na-moru,"Ul. kralja Petra Svačića 20, Biograd Na Moru",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,Zatvoreno
https://www.studenac.hr/trgovine/719/t759-biograd-na-moru,"Ivana Raosa 10, Biograd Na Moru",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00
https://www.studenac.hr/trgovine/1281/t1451-bjelovar,"Alojzija Stepinca 20 a, Bjelovar",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-14:00
https://www.studenac.hr/trgovine/1283/t1436-bjelovar,"Velike Sredice 180, Bjelovar",24.03 - 30.03.2025.,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,08:00-15:00
https://www.studenac.hr/trgovine/1293/t1416-bjelovar,"Krste Frankopana 20, Bjelovar",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/1090/t928-bjelovar,,,,,,,,,
https://www.studenac.hr/trgovine/1348/t1419-bjelovar,"Iločka ulica 5, Bjelovar",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/1350/t1418-bjelovar,"Lovre Matačića 75, Bjelovar",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/1351/t1444-bjelovar,"Mirka Bogovića 15, Bjelovar",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,Zatvoreno
https://www.studenac.hr/trgovine/1352/t1445-bjelovar,"Cvjetna ulica 29, Bjelovar",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-14:00
https://www.studenac.hr/trgovine/1353/t1435-bjelovar,"Ulica Antuna Mihanovića 11, Bjelovar",24.03 - 30.03.2025.,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,Zatvoreno
https://www.studenac.hr/trgovine/1356/t1441-bjelovar,"Šetalište Ivše Lebovića 45, Bjelovar",24.03 - 30.03.2025.,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,08:00-13:00,Zatvoreno
https://www.studenac.hr/trgovine/1173/t1213-bjelovar,"Ivana Gorana Kovačića 1, Bjelovar",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/998/t1209-bjelovar,"Zvijerci 33, Bjelovar",24.03 - 30.03.2025.,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-18:00
https://www.studenac.hr/trgovine/999/t1210-bjelovar,"Milana Šufflaya 19, Bjelovar",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/1000/t1211-bjelovar,"Vladimira Nazora 24, Bjelovar",24.03 - 30.03.2025.,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-13:00,Zatvoreno
https://www.studenac.hr/trgovine/1001/t1212-bjelovar,"Slavonska cesta 3, Bjelovar",24.03 - 30.03.2025.,05:00-16:00,05:00-16:00,05:00-16:00,05:00-16:00,05:00-16:00,05:00-14:00,Zatvoreno
https://www.studenac.hr/trgovine/1002/t1214-bjelovar,"Andrije Hebranga 28, Bjelovar",24.03 - 30.03.2025.,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-16:00,Zatvoreno
https://www.studenac.hr/trgovine/1003/t1215-bjelovar,"Eugena Kumičića 94, Bjelovar",24.03 - 30.03.2025.,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,07:00-14:00,Zatvoreno
https://www.studenac.hr/trgovine/1004/t1216-bjelovar,"Ul. Andrije K. Miošića 22, Bjelovar",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-14:00
https://www.studenac.hr/trgovine/1005/t1217-bjelovar,"Antuna Radića 8, Bjelovar",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,08:00-15:00,07:00-14:00
https://www.studenac.hr/trgovine/1008/t1220-bjelovar,"Radničko naselje prilaz II 22, Bjelovar",24.03 - 30.03.2025.,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,07:00-19:00,Zatvoreno
https://www.studenac.hr/trgovine/1264/t998-bjelovar,,,,,,,,,
https://www.studenac.hr/trgovine/1023/t1247-blagorodovac,"Ulica Stjepana Radića 50, Blagorodovac",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,Zatvoreno
https://www.studenac.hr/trgovine/578/t615-blato,"Prigradica 54, Blato",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/362/t110-blato,"85.Ulica 2, Blato",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/363/t109-blato,,,,,,,,,
https://www.studenac.hr/trgovine/364/t108-blato,"1. Ulica 15, Blato",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/139/t296-blato,"1. Ulica 40, Blato",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/1300/t1071-blinjski-kut,"Cesta 13, Blinjski Kut, Blinjski Kut",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,08:00-20:00
https://www.studenac.hr/trgovine/916/t1075-bobovac,,,,,,,,,
https://www.studenac.hr/trgovine/993/t1201-bodovaljci,"Bodovaljci 91, Bodovaljci",24.03 - 30.03.2025.,06:30-21:30,06:30-21:30,06:30-21:30,06:30-21:30,06:30-21:30,06:30-21:30,08:00-18:00
https://www.studenac.hr/trgovine/539/t071-bol,"Ulica Hrvatskog preporoda 1B, Bol",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/374/t045-bol,"Ulica uz pjacu 13, Bol",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/1410/t995-bol,"Domovinskog rata 62, Bol",24.03 - 30.03.2025.,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,07:00-12:00,Zatvoreno
https://www.studenac.hr/trgovine/170/t046-bol,"Ulica Donje Podbarje 1A, Bol",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/1296/t1438-bolc,"Bolč 183, Bolč",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-14:00,Zatvoreno
https://www.studenac.hr/trgovine/994/t1202-bolfan,"Varaždinska ulica 62, Bolfan",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,Zatvoreno
https://www.studenac.hr/trgovine/901/t1048-borovac,"Borovac 101, Borovac",24.03 - 30.03.2025.,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,Zatvoreno
https://www.studenac.hr/trgovine/1316/t1101-bovic,"Bović 110, Bović",24.03 - 30.03.2025.,07:30-14:30,07:30-14:30,07:30-14:30,07:30-14:30,07:30-14:30,07:30-12:30,Zatvoreno
https://www.studenac.hr/trgovine/668/t712-bozava,"Božava 83, Božava",24.03 - 30.03.2025.,07:30-12:00,07:30-12:00,07:30-12:00,07:30-12:00,07:30-12:00,07:30-12:00,Zatvoreno
https://www.studenac.hr/trgovine/1398/t1543-bratina,"Bratina 19, Bratina",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,08:00-21:00
https://www.studenac.hr/trgovine/1158/t1158-brckovljani,"Kralja Zvonimira 73, Brckovljani",24.03 - 30.03.2025.,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,Zatvoreno
https://www.studenac.hr/trgovine/969/t1157-brckovljani,"Ulica Stjepana Radića 4, Brckovljani",24.03 - 30.03.2025.,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,Zatvoreno
https://www.studenac.hr/trgovine/1539/t1683-bregana,"Samoborska 11, Bregana",24.03 - 30.03.2025.,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,Zatvoreno
https://www.studenac.hr/trgovine/1550/t1688-bregana,"Grdanjci 55, Bregana",24.03 - 30.03.2025.,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,06:30-19:00,Zatvoreno
https://www.studenac.hr/trgovine/1225/t1394-bregovljana,"Bregovljanska cesta 59, Bregovljana",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/1429/t029-brela,"Frankopanska 60, Brela",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/888/t1028-brestaca,"Zagrebačka 134, Brestača",24.03 - 30.03.2025.,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,Zatvoreno
https://www.studenac.hr/trgovine/1167/t1184-brezine,"Brezine 49, Brezine",24.03 - 30.03.2025.,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,08:00-20:30,08:00-14:00
https://www.studenac.hr/trgovine/1355/t1442-brezovac,"Garešnička 23, Brezovac",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-14:00
https://www.studenac.hr/trgovine/146/t281-brist,"Marušići 5, Brist",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/664/t688-brisevo,"Križanje mazija 6A, Briševo",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00
https://www.studenac.hr/trgovine/106/t324-brnaze,"Brnaze 437, Brnaze",24.03 - 30.03.2025.,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,Zatvoreno
https://www.studenac.hr/trgovine/889/t1029-brocice,"Svetog Mihovila 71, Bročice",24.03 - 30.03.2025.,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,Zatvoreno
https://www.studenac.hr/trgovine/217/t199-brodarica,"Partizanska 49, Brodarica",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
https://www.studenac.hr/trgovine/1485/t1641-brodski-stupnik,"Hrvatskih branitelja 284, Brodski Stupnik",24.03 - 30.03.2025.,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,07:30-20:00,08:00-14:00
https://www.studenac.hr/trgovine/518/t547-brtonigla,"Bunarska ulica 2, Brtonigla",24.03 - 30.03.2025.,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,Zatvoreno
https://www.studenac.hr/trgovine/914/t1072-budasevo,"Malo Budaševo 155, Budaševo",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,Zatvoreno
https://www.studenac.hr/trgovine/1032/t1258-budrovac,"Bilogorska 61, Budrovac",24.03 - 30.03.2025.,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-17:00,Zatvoreno
https://www.studenac.hr/trgovine/1364/t1429-bulinac,"Bulinac 69, Bulinac",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,08:00-14:00
https://www.studenac.hr/trgovine/515/t544-buzet,"Trg Fontana 8/2, Buzet",24.03 - 30.03.2025.,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,Zatvoreno
https://www.studenac.hr/trgovine/1425/t1552-carevdar,"Carevdar 82, Carevdar",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,Zatvoreno
https://www.studenac.hr/trgovine/8/t427-cavtat,"Trumbićev put 5, Cavtat",24.03 - 30.03.2025.,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,Zatvoreno
https://www.studenac.hr/trgovine/840/t818-cavtat,"Trumbićev put 8, Cavtat",24.03 - 30.03.2025.,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,Zatvoreno
https://www.studenac.hr/trgovine/841/t819-cavtat,"Put od Cavtata 25, Cavtat",24.03 - 30.03.2025.,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,Zatvoreno
